Student_ID,City_ID,Course_ID,Login_Frequency,Average_Session_Duration_Min,Video_Completion_Rate,Discussion_Participation,Time_Spent_Hours,Days_Since_Last_Login,Notifications_Checked,Peer_Interaction_Score,Assignments_Submitted,Assignments_Missed,Quiz_Attempts,Quiz_Score_Avg,Project_Grade,Progress_Percentage,Rewatch_Count,App_Usage_Percentage,Reminder_Emails_Clicked,Support_Tickets_Raised,Satisfaction_Rating,Completion_Status
"STU100252","CT001","C102",3,29,0.20199999999999999,2,0.5,35,9,8.4,4,6,3,0.584,68.5,0.345,2,0.54,2,0,3.7,"Not Completed"
"STU100281","CT005","C102",4,49,0.46,2,0.5,4,4,7.8,4,6,3,0.645,68.4,0.435,2,0.55,4,0,4.9,"Not Completed"
"STU100459","CT013","C102",3,29,0.45899999999999996,2,0.5,4,6,8.8,3,7,3,0.84400000000000008,72.2,0.377,2,0.47,4,0,3.9,"Completed"
"STU101200","CT007","C102",6,45,0.396,2,0.5,8,6,10,6,4,3,0.914,66.4,0.532,5,1,2,0,3.3,"Completed"
"STU101247","CT011","C101",5,24,0.55399999999999994,2,0.5,1,14,5.7,7,2,3,0.88099999999999989,72.9,0.65,0,0.68,0,0,3.9,"Completed"
"STU101644","CT011","C101",3,32,0.72,2,0.5,13,3,6.1,6,4,3,0.765,62.8,0.643,3,0.88,2,0,3.3,"Completed"
"STU101910","CT009","C101",3,32,0.701,2,0.5,11,2,8.5,3,7,3,0.69900000000000007,97,0.474,1,0.88,1,0,2.9,"Completed"
"STU102127","CT011","C106",4,24,0.555,2,0.5,5,5,8,4,6,3,0.853,63.5,0.466,1,0.8,5,0,4.1,"Not Completed"
"STU102713","CT014","C103",9,28,0.612,2,0.5,0,2,3.8,5,5,3,0.777,68.9,0.54899999999999993,2,0.69,6,0,5,"Completed"
"STU103771","CT010","C108",6,35,0.552,2,0.5,4,9,5,3,7,3,0.76,61.9,0.40399999999999997,1,0.6,2,0,3.5,"Completed"
"STU104074","CT006","C107",4,47,0.765,2,0.5,3,5,7.9,6,4,3,0.804,59.8,0.65799999999999992,1,0.75,0,0,3.7,"Not Completed"
"STU104603","CT004","C102",4,29,0.55399999999999994,2,0.5,0,2,5.8,2,7,3,0.523,68.9,0.348,2,0.85,0,0,4.1,"Not Completed"
"STU104941","CT013","C107",3,19,0.151,2,0.5,3,6,5.7,4,6,3,0.649,64.2,0.325,1,0.97,0,0,3.4,"Not Completed"
"STU105081","CT001","C103",4,36,0.496,2,0.5,3,3,4.5,3,7,3,0.983,65.9,0.386,1,0.61,5,0,3.1,"Not Completed"
"STU105465","CT012","C101",4,19,0.858,2,0.5,21,5,6,7,3,3,0.835,89.2,0.765,3,0.58,0,0,5,"Completed"
"STU106173","CT007","C108",5,12,0.69700000000000006,2,0.5,14,3,4,4,6,3,0.556,60.3,0.514,4,0.63,5,0,2.4,"Not Completed"
"STU106279","CT011","C106",6,46,0.614,2,0.5,7,6,6.3,6,4,3,0.773,57.3,0.604,0,0.72,5,0,5,"Not Completed"
"STU106709","CT012","C106",9,29,0.777,2,0.5,1,6,4.7,4,6,3,0.818,92.7,0.55799999999999994,0,0.31,3,0,4.6,"Not Completed"
"STU106764","CT010","C103",4,44,0.674,2,0.5,24,6,6.4,6,4,3,0.659,85.6,0.639,3,0.62,0,0,5,"Completed"
"STU107103","CT001","C102",3,47,0.84400000000000008,2,0.5,3,4,7.3,6,4,3,0.762,54.6,0.68299999999999994,1,0.6,2,0,3.8,"Not Completed"
"STU108508","CT004","C101",5,32,0.715,2,0.5,2,8,6.4,5,5,3,0.45,47.6,0.574,1,0.33,1,0,5,"Not Completed"
"STU108780","CT011","C101",4,34,0.336,2,0.5,0,10,5.6,5,5,3,0.63,84.2,0.46,4,0.82,2,0,3.8,"Not Completed"
"STU109124","CT008","C104",2,22,0.447,2,0.5,6,8,7.8,5,5,3,0.475,57.6,0.485,2,0.9,3,0,4.7,"Not Completed"
"STU109636","CT008","C106",5,50,0.297,2,0.5,3,4,9.6,4,6,3,0.80799999999999994,56,0.37200000000000005,0,0.84,0,0,5,"Completed"
"STU109716","CT011","C105",5,38,0.6,2,0.5,4,4,6.2,5,5,3,0.754,60.4,0.54,0,0.56,3,0,3,"Completed"
